"id";"scope";"strategy";"identity";"attempt";"success";"failure_reason";"user_type";"user_id";"context";"ip";"user_agent";"referrer";"city";"region";"country";"latitude";"longitude";"created_at";"warnlisted_ip_id"
528743;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.24";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 17:28:20.322;
528744;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.24";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 17:28:20.528;
528777;user;database_authenticatable;"30422_1";2;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.24";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 18:01:56.924;
528778;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.24";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 18:01:56.988;
528781;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.24";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 18:08:24.678;
528800;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.138";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 18:26:33.104;
528801;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.138";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 18:26:33.138;
528844;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.138";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 18:57:26.809;
528845;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.138";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 18:57:26.842;
528880;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 19:20:24.889;
528881;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 19:20:24.920;
528899;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 19:45:23.420;
528900;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 19:45:23.461;
528909;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.138";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 19:48:23.870;
528910;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.138";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 19:48:23.904;
528935;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 20:09:41.526;
528936;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 20:09:41.556;
528947;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 20:31:05.562;
528948;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-22 20:31:05.635;
529063;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-23 06:13:41.511;
529064;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-23 06:13:41.547;
529065;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-23 07:20:20.106;
529066;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-23 07:20:20.139;
529102;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.138";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-23 12:00:04.801;
529103;user;token;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.138";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-23 12:00:05.127;
529271;user;database_authenticatable;"30422_1";0;true;;User;4999;api/v3/overrides/sessions#create;"10.235.116.119";Dart/3.6 (dart:io);https://oruspay-banking-api.cashway.io/api/v3/auth/sign_in;;;;0.0;0.0;2025-04-23 15:03:54.776;
